name,shop,amenity,latitude,longitude
Delikatesy LDC,supermarket,,51.1177474,17.0104981
Przystanek,convenience,,51.1155102,17.0152241
Lidl,supermarket,,51.1405762,17.0828611
Biedronka,supermarket,,51.1512366,17.0263958
Społem,convenience,,51.0893364,17.0214617
Rabat,convenience,,51.1596743,17.1337284
,convenience,,51.1433342,17.1230518
Żabka,convenience,,51.146458,17.1209399
Żabka,convenience,,51.0783948,16.9578467
Na gramy,convenience,,51.0835249,17.039742
Żabka,convenience,,51.0985691,17.00612
,convenience,,51.1225879,17.0495673
Reko,convenience,,51.1356967,17.030181
Delikatesy T&J,supermarket,,51.0965683,17.0094627
Mini Market,convenience,,51.1350646,17.0343707
Alf,convenience,,51.087479,17.0126878
Biedronka,supermarket,,51.0919409,17.0069293
Żabka,convenience,,51.0869107,17.0121544
Żabka,convenience,,51.089666,17.001654
,convenience,,51.1365042,17.0350596
Społem,supermarket,,51.0772828,17.083649
,convenience,,51.0759821,17.0833748
Prima,convenience,,51.0993494,17.0172323
Biedronka,supermarket,,51.1109819,17.0569803
Biedronka,supermarket,,51.1231396,17.0520095
Biedronka,supermarket,,51.1292615,16.9701281
Biedronka,supermarket,,51.0848155,17.0105328
Żabka,convenience,,51.0806876,17.0493006
Żabka,convenience,,51.0798155,17.0464951
Hala Strzegomska,mall,,51.1114008,16.9593883
Kaufland,supermarket,,51.1214809,17.0161445
E. Leclerc,supermarket,,51.1308463,17.040701
Ponik,supermarket,,51.1384196,17.0323361
Auchan,supermarket,,51.1423056,17.0871432
Biedronka,supermarket,,51.1447142,17.1377415
Żabka,convenience,,51.1139163,16.9550992
Żabka,convenience,,51.0727106,17.0886834
,convenience,,51.133437,17.0816776
Żabka,convenience,,51.1370661,17.0717664
,convenience,,51.1206158,17.0389581
Społem,supermarket,,51.1406094,16.9576963
Astra,supermarket,,51.1266962,16.9759406
ABC,convenience,,51.0515304,17.0593783
Żabka,convenience,,51.1115794,17.0582188
Żabka,convenience,,51.0744266,17.0857626
Biedronka,supermarket,,51.0958295,17.0548475
Biedronka,supermarket,,51.1462878,16.8662433
Żabka,convenience,,51.1193029,17.0578823
Dino,supermarket,,51.1180716,17.0593579
Biedronka,supermarket,,51.1199636,17.039414
Żabka,convenience,,51.0676544,16.9927477
Rabat,convenience,,51.1452843,17.1172395
Delikatesy T&J,supermarket,,51.1205131,17.0781472
Hewea,convenience,,51.1015312,17.1092505
Rożek,convenience,,51.1058711,17.1049977
Żabka,convenience,,51.1061447,17.1041436
Lewiatan,convenience,,51.1056712,17.1113478
Delikatesy Longinus,convenience,,51.1024218,17.0398141
Delikatesy Centrum,supermarket,,51.0932999,16.9864357
Rabat,convenience,,51.1270776,17.0574153
,convenience,,51.1259161,17.0578069
Żabka,convenience,,51.1278957,17.0570398
Biedronka,supermarket,,51.1024231,17.0528828
Żabka,convenience,,51.1161727,17.0582636
Żabka,convenience,,51.0880242,17.0174791
,convenience,,51.0906761,17.0183079
Społem,supermarket,,51.1332412,16.9577463
Żabka,convenience,,51.123944,17.0552036
Żabka,convenience,,51.1236334,17.0416527
Żabka,convenience,,51.0977226,17.0124133
Biedronka,supermarket,,51.1279844,16.9898515
Lewiatan,convenience,,51.0747149,17.0331343
Delikatesy Centrum,supermarket,,51.11148,17.0374608
Żabka,convenience,,51.0594556,16.973995
Carrefour Express,convenience,,51.1142143,17.0664997
Krasnal,convenience,,51.0727389,16.9957998
Krokus,convenience,,51.1083868,17.0682825
Stokrotka,supermarket,,51.1464094,17.1349594
Biedronka,supermarket,,51.1085188,17.0343184
,convenience,,51.1206051,17.0382472
Rabat,convenience,,51.1229716,17.0354604
Społem,supermarket,,51.0949969,16.9912126
Żabka,convenience,,51.0955179,16.9885692
Haras,convenience,,51.0898456,17.0006744
Carrefour,supermarket,,51.0887165,16.9979304
Carrefour,supermarket,,51.1051195,16.9462657
Żabka,convenience,,51.0965111,16.9471011
,convenience,,51.0955816,16.940535
Żabka,convenience,,51.1403239,17.0336392
InterMix,convenience,,51.1259437,16.9961205
Biedronka,supermarket,,51.1086249,17.038107
Biedronka,supermarket,,51.1192792,16.9792054
Żabka,convenience,,51.121189,17.0434992
Żabka,convenience,,51.1055566,17.038224
Żabka,convenience,,51.1019524,17.0420837
Grosik,convenience,,51.1024402,17.0445994
Netto,supermarket,,51.140586,17.0705084
Biedronka,supermarket,,51.1227314,16.9744599
Żabka,convenience,,51.1533115,16.9077747
Delikatesy Centrum,supermarket,,51.1131866,17.0145155
Żabka,convenience,,51.1523854,16.9322999
Żabka,convenience,,51.1123014,17.0559319
,convenience,,51.1457434,17.1270928
,convenience,,51.144998,17.1379612
,convenience,,51.1421188,17.125741
Żabka,convenience,,51.1483298,17.0422479
Żabka,convenience,,51.1084718,17.032511
Żabka,convenience,,51.1100189,17.0277066
Żabka,convenience,,51.1098118,17.0235051
Żabka,convenience,,51.1198851,17.0462513
Żabka,convenience,,51.1012032,17.0360302
Żabka,convenience,,51.1068101,17.032177
Żabka,convenience,,51.1183266,17.0372035
Żabka,convenience,,51.1200539,17.0401418
Żabka,convenience,,51.1168719,17.0319555
NaRogu,convenience,,51.1169094,17.0516875
Żabka,convenience,,51.1086845,17.0269202
,convenience,,51.0733357,17.0024886
Żabka,convenience,,51.0637268,16.9799011
,convenience,,51.0752776,16.9955455
Żabka,convenience,,51.1225612,17.0520416
Żabka,convenience,,51.1325161,17.0661352
Żabka,convenience,,51.1148476,17.0666883
Biedronka,supermarket,,51.11524,17.0527101
Żabka,convenience,,51.113017,17.0177238
Żabka,convenience,,51.1161316,17.0526898
Żabka,convenience,,51.1096332,16.9555334
Żabka,convenience,,51.1192996,17.0422585
Groszek,convenience,,51.1193349,17.0425908
Żabka,convenience,,51.1037651,17.0303009
Żabka,convenience,,51.1257586,17.0524039
Żabka,convenience,,51.0997716,17.0406544
Żabka,convenience,,51.0766009,17.0201177
Żabka,convenience,,51.1105499,17.0346918
Żabka,convenience,,51.1088197,17.0336264
Euro Sklep,convenience,,51.0805808,17.016404
Hermes,convenience,,51.0638914,16.9768019
Społem,convenience,,51.0859652,17.0123384
Auchan Supermarket,supermarket,,51.1276907,17.049342
Netto,supermarket,,51.129856,16.9681162
Społem,supermarket,,51.1303635,16.9653362
C.H. TARGET,,marketplace,51.1412245,17.0343133
Delikatesy Bajana,convenience,,51.1262484,16.9631575
Żabka,convenience,,51.1251732,17.0563835
Żabka,convenience,,51.1095683,17.0998723
Odido,convenience,,51.1355766,17.0349087
Rabat,convenience,,51.1382536,17.0295322
Eurospar,supermarket,,51.0907996,17.0619985
Biedronka,supermarket,,51.1036855,17.0312492
,convenience,,51.1372809,17.0369075
Carrefour Market,supermarket,,51.1085525,17.0416782
Ewa Warzywa,convenience,,51.1230873,17.0560998
,convenience,,51.117141,16.9544268
Biedronka,supermarket,,51.0577406,17.0225271
Żabka,convenience,,51.1012623,17.0530915
,convenience,,51.101143,17.0531993
Żabka,convenience,,51.0995382,17.0504716
Blumiś,convenience,,51.1008321,17.0490032
Żabka,convenience,,51.1089179,17.0300678
Labirynt,convenience,,51.0983596,17.0526382
Żabka,convenience,,51.0986792,17.0514801
,convenience,,51.1000986,17.0542234
Żabka,convenience,,51.0973942,17.0554025
abc,convenience,,51.1019474,17.0518057
Żabka,convenience,,51.0976842,17.0502202
Żabka,convenience,,51.1066178,17.0434013
Żabka,convenience,,51.097799,17.0486663
Żabka,convenience,,51.1004052,17.0427024
Żabka,convenience,,51.0998706,17.0441801
,convenience,,51.0905926,17.0214043
Żabka,convenience,,51.1165314,17.0420095
Delikatesy Centrum,supermarket,,51.1223609,17.0474685
Na rogu,convenience,,51.1223101,17.0478237
Odessa Market,convenience,,51.1231169,17.0487102
Biedronka,supermarket,,51.0931498,17.0255507
Delikatesy Centrum,supermarket,,51.0929544,17.025379
Żabka,convenience,,51.0812504,17.0219061
Mięsne Specjały,convenience,,51.0772151,17.0181931
Żabka,convenience,,51.1139273,17.0601906
Żabka,convenience,,51.0770237,17.0179826
O!Shop,convenience,,51.0833302,17.0253604
,convenience,,51.0833549,17.0235816
O!Shop,convenience,,51.0845947,17.0245947
,convenience,,51.0996888,17.0379773
City Market,convenience,,51.0586358,17.0116244
India Bazaar,convenience,,51.1113644,17.058157
Olimp,convenience,,51.1181942,17.0598781
Lion,convenience,,51.1459017,17.1115292
Żabka,convenience,,51.1465286,17.113101
Żabka,convenience,,51.1173951,17.0490743
Dino,supermarket,,51.10937,17.0340081
EuroSklep,convenience,,51.0648594,17.0112071
TGG,mall,,51.1178798,17.0006944
Żabka,convenience,,51.1411747,17.0257777
Żabka,convenience,,51.146402,17.0717644
,convenience,,51.1363608,16.9694211
Dino,supermarket,,51.1234594,17.0503217
Żabka,convenience,,51.123144,17.050094
Żabka,convenience,,51.1174174,17.0423606
Żabka,convenience,,51.1081648,17.0379772
Żabka,convenience,,51.1214073,17.0464183
Żabka,convenience,,51.1010536,17.0486026
Rabat,convenience,,51.0945587,17.0029767
Żabka,convenience,,51.1338834,16.9575076
Nowa Chata,supermarket,,51.1140244,17.0091381
Biedronka,supermarket,,51.1119837,16.9620271
P&P Delikatesy,convenience,,51.1157929,17.0623592
Żabka,convenience,,51.1103292,17.0621111
Żabka,convenience,,51.1167834,17.0676299
Żabka,convenience,,51.1145946,17.0573903
Żabka,convenience,,51.1240926,17.0355306
Żabka,convenience,,51.1124978,16.9591604
Delikatesy Centrum,supermarket,,51.116061,17.0078532
Kubuś,convenience,,51.1166311,17.0421122
Społem,supermarket,,51.1162743,16.9492133
Odido,convenience,,51.0908967,17.0380947
Żabka,convenience,,51.0935351,16.999725
Żabka,convenience,,51.1224602,16.9955752
,convenience,,51.1165068,16.9995592
Chata Polska,convenience,,51.110114,17.0628608
Agnes,convenience,,51.1126206,17.1067517
,convenience,,51.1143846,17.1280105
Auchan Supermarket,supermarket,,51.0589427,17.0090475
Jaś,convenience,,51.0796714,17.0408279
Żabka,convenience,,51.0657643,16.9899899
Żabka,convenience,,51.1235651,17.0442804
Biedronka,supermarket,,51.0750185,17.0044955
Żabka,convenience,,51.0913325,16.9856958
Żabka,convenience,,51.1720967,16.9029871
,convenience,,51.1253085,16.9793586
Delikatesy,convenience,,51.0944225,17.0147553
Twój Sklep,convenience,,51.1002442,17.0084686
Żabka,convenience,,51.0996573,17.0075283
Żabka,convenience,,51.1005736,17.033386
Biedronka,supermarket,,51.0993985,17.0397648
Żabka,convenience,,51.12688,17.0503724
Stokrotka,supermarket,,51.1400272,16.963141
,convenience,,51.0889309,16.9848147
Żabka,convenience,,51.0855215,17.0040457
Żabka,convenience,,51.0879964,17.0134044
Żabka,convenience,,51.0997189,16.951651
Żabka,convenience,,51.1012008,16.9496972
Vis Vitalis,convenience,,51.0995007,16.9510409
Biedronka,supermarket,,51.098859,17.0053026
Żabka,convenience,,51.1049276,17.0212606
Żabka,convenience,,51.1053453,17.0235826
Żabka,convenience,,51.1121389,17.063729
Żabka,convenience,,51.0912653,17.0164488
Hermes,convenience,,51.1578169,16.9276199
Żabka,convenience,,51.1231042,17.0367802
Delikatesy T&J,supermarket,,51.1375262,17.0531988
Delikatesy Centrum,supermarket,,51.1024253,17.0145536
Amic Market,convenience,,51.0828127,17.0361454
Delikatesy Centrum,supermarket,,51.0817617,17.0118264
Delikatesy Centrum,supermarket,,51.0904821,17.040157
Żabka,convenience,,51.0902391,17.0401397
Supermarket T&J,supermarket,,51.0735136,17.0892562
Lewiatan,convenience,,51.1224811,17.0438855
Żabka,convenience,,51.1223021,17.0441759
Lewiatan,convenience,,51.1161837,17.0737425
Lewiatan,convenience,,51.099834,17.0033429
Żabka,convenience,,51.099749,17.002754
Lewiatan,convenience,,51.1452942,16.8711161
Żabka,convenience,,51.0728733,17.0395814
T&J,supermarket,,51.1287876,17.0331894
Żabka,convenience,,51.1094336,17.0375243
Żabka,convenience,,51.1055113,17.0315573
Żabka,convenience,,51.143036,17.0507324
Żabka,convenience,,51.1083191,17.026791
abc,convenience,,51.1456942,16.8681343
Żabka,convenience,,51.1378048,17.074609
Żabka,convenience,,51.0750864,17.0405398
Prosiaczek,convenience,,51.1357013,17.0700399
Żabka,convenience,,51.0931558,17.0366214
,convenience,,51.1659062,17.1048045
Żabka,convenience,,51.1171116,17.0159018
Na maksa,convenience,,51.0980304,17.0540599
LDC,convenience,,51.0985077,17.0522225
Żabka,convenience,,51.1273892,16.9644328
Rabat,convenience,,51.1418925,16.9919306
,convenience,,51.138193,16.9926305
,convenience,,51.1403137,16.9915024
Żabka,convenience,,51.1260023,16.9694044
,convenience,,51.1375493,16.9711765
Żabka,convenience,,51.0888541,17.006253
Żabka,convenience,,51.0589534,17.0081163
Biedronka,supermarket,,51.0603651,17.0026531
Ukraiński Smak,supermarket,,51.0603222,17.0031301
,convenience,,51.067607,17.0149229
Aligator,convenience,,51.154446,17.0443515
Żabka,convenience,,51.1547067,17.0444002
Żabka,convenience,,51.0778083,16.9635019
Żabka,convenience,,51.0729324,16.9949916
Żabka,convenience,,51.0991331,17.0261585
Odido,convenience,,51.094641,16.9761878
,convenience,,51.131554,17.0640508
Żabka,convenience,,51.1099819,17.0262015
Eurocash,supermarket,,51.1520565,17.1179648
Biedronka,supermarket,,51.1107146,17.0253931
Biedronka,supermarket,,51.1380154,16.9653497
Delikatesy Europy Wschodniej,convenience,,51.1263672,16.9669124
Żabka,convenience,,51.1018606,17.026638
Żabka,convenience,,51.0853059,17.0380292
Żabka,convenience,,51.0873675,17.0396796
Żabka,convenience,,51.0898349,17.0452728
U Kasi,convenience,,51.1042748,17.0227881
,convenience,,51.0503136,17.0596968
Żabka,convenience,,51.0748516,16.9735688
Chata Polska,convenience,,51.1533027,17.0441209
Żabka,convenience,,51.1332544,17.0297618
Biedronka,supermarket,,51.1039165,17.0811181
