name,railway,latitude,longitude
Wrocław Główny,station,51.097916,17.0379512
Wrocław Sołtysowice,station,51.1425485,17.0835373
Wrocław Leśnica,station,51.1419618,16.8672785
Wrocław Świniary,halt,51.1980793,16.9697587
Wrocław Popowice,halt,51.1273621,17.001416
Wrocław Osobowice,station,51.1670923,16.9966038
Wrocław Mikołajów,halt,51.1162965,16.998395
Wrocław Pawłowice,halt,51.1687803,17.1083776
Wrocław Żerniki,station,51.1261453,16.9164074
Wrocław Nowy Dwór,halt,51.1196824,16.9551819
Wrocław Muchobór,halt,51.1111407,16.9747674
Wrocław Grabiszyn,halt,51.0966298,16.9742551
Wrocław Nadodrze,station,51.1256579,17.0329905
Wrocław Brochów,halt,51.0642794,17.0846248
Wrocław Psie Pole,station,51.150452,17.1185445
Wrocław Pracze,station,51.1700195,16.9031293
Wrocław Kuźniki,station,51.1280409,16.9522088
Wrocław Stadion,halt,51.1370304,16.9406255
Wrocław Wojnów,halt,51.1035553,17.157708
Wrocław Różanka,halt,51.1379872,17.00371
Wrocław Zakrzów,halt,51.1587445,17.1221927
Wrocław Zachodni,station,51.0899487,16.949504
Wrocław Swojczyce,station,51.1158639,17.1213443
Wrocław Kowale,halt,51.134977,17.1001696
Wrocław Popiele,halt,51.1224546,17.1142732
Wrocław Wojnów Wschodni,halt,51.0980573,17.1682379
Wrocław Szczepin,halt,51.1229484,17.0142423
Wrocław Wojszyce,halt,51.069076,17.0321678
Wrocław Partynice,halt,51.0611197,16.9976665
Wrocław Strachocin,halt,51.1098233,17.1457051
