name,highway,latitude,longitude
Jelenia,bus_stop,51.1242816,16.9967567
Jelenia,bus_stop,51.1235776,16.9960225
Adamczewskich,bus_stop,51.120845,16.8695353
Adamczewskich,bus_stop,51.1209506,16.8695655
Adamieckiego,bus_stop,51.0732879,16.9636586
Adamieckiego,bus_stop,51.0742614,16.9630038
Borowska (Szpital),bus_stop,51.0746513,17.0325751
Borowska (Szpital),bus_stop,51.0753118,17.0331118
Aleja Pracy,bus_stop,51.0912863,16.9865615
Aleja Pracy,bus_stop,51.0918654,16.9853801
Aleja Pracy,bus_stop,51.0922601,16.9864263
Aleja Wędrowców,bus_stop,51.0879887,16.9918872
Aleja Wędrowców,bus_stop,51.0886682,16.9923073
Arabska,bus_stop,51.0511106,17.0922887
Arabska,bus_stop,51.0511186,17.0924331
Arena,bus_stop,51.0950308,17.02727
Arkady (Capitol),bus_stop,51.1018966,17.0297717
Arkady (Capitol),bus_stop,51.1019644,17.0294025
Armii Krajowej,bus_stop,51.0878161,17.0683328
Azaliowa,bus_stop,51.1639772,17.111943
Azaliowa,bus_stop,51.1641748,17.1119582
Bulwar Dedala,bus_stop,51.1267842,16.9630089
Bulwar Dedala,bus_stop,51.1273411,16.9639282
Bardzka (Cmentarz),bus_stop,51.0723527,17.0528985
Bardzka (Cmentarz),bus_stop,51.0732399,17.0533086
Bardzka,bus_stop,51.0827765,17.0508253
Bardzka,bus_stop,51.0834762,17.0493022
Bartoszowice,bus_stop,51.1025531,17.1160707
Bieńkowice,bus_stop,51.0477794,17.0911543
Biskupin,bus_stop,51.1009732,17.1088227
Biskupin,bus_stop,51.101116,17.1086469
Blacharska,bus_stop,51.0820961,16.9895891
Brochów (Stacja kolejowa),bus_stop,51.063611,17.0837452
Brochów (Stacja kolejowa),bus_stop,51.063753,17.0825008
Brochów,bus_stop,51.0590347,17.0863451
Brochów,bus_stop,51.0589093,17.08732
Bacciarellego,bus_stop,51.1054212,17.1117708
Bacciarellego,bus_stop,51.1056437,17.110487
Bagatela,bus_stop,51.1522105,17.0700665
Bagatela,bus_stop,51.1527665,17.0693936
Bajana,bus_stop,51.1304876,16.9669648
Bajana,bus_stop,51.1312,16.9657492
Bałtycka,bus_stop,51.1366389,17.0306304
Bałtycka,bus_stop,51.1371851,17.0294612
Bałtycka,bus_stop,51.1375907,17.0306136
Bałtycka,bus_stop,51.1382031,17.0294131
Berenta,bus_stop,51.1349756,17.0577777
Berenta,bus_stop,51.1355075,17.0564729
Berenta,bus_stop,51.1355106,17.0575789
Berenta,bus_stop,51.1357898,17.0576384
Bezpieczna,bus_stop,51.1412449,17.0250804
Bezpieczna,bus_stop,51.141433,17.0263255
Bezpieczna,bus_stop,51.1428903,17.0253116
Białych Goździków,bus_stop,51.1568091,17.1009257
Białych Goździków,bus_stop,51.1569299,17.0993349
Bierdzany,bus_stop,51.091727,17.0925437
Bierdzany,bus_stop,51.0921262,17.0912927
Bierutowska (Wiadukt),bus_stop,51.1582454,17.1465846
Bierutowska (Wiadukt),bus_stop,51.1584367,17.1477205
Bierutowska 75,bus_stop,51.155762,17.139987
Bierutowska 75,bus_stop,51.1559686,17.1406843
Bierutowska,bus_stop,51.1537912,17.1363643
Bierutowska,bus_stop,51.1541535,17.136764
Blizanowicka,bus_stop,51.0758365,17.0929603
Blizanowicka,bus_stop,51.0760666,17.0924269
Bociania,bus_stop,51.1296981,17.0981991
Bociania,bus_stop,51.1299998,17.0967863
Bojanowska,bus_stop,51.1653323,16.8819192
Bojanowska,bus_stop,51.1651452,16.88138
Borowska (Aquapark),bus_stop,51.0880601,17.0364747
Borowska (Aquapark),bus_stop,51.0892995,17.0341529
Borowska (Aquapark),bus_stop,51.0893144,17.0339011
Braterska,bus_stop,51.0673476,16.9979598
Brochowska,bus_stop,51.0677737,17.0943749
Brochowska,bus_stop,51.0681109,17.0942101
Brochowska,bus_stop,51.0690171,17.0948156
Księże Wielkie,bus_stop,51.0698201,17.0975758
Brochowska,bus_stop,51.0691094,17.0929492
Królewiecka (Park),bus_stop,51.1482213,16.9307806
Królewiecka (Park),bus_stop,51.1491944,16.930188
Brodzka,bus_stop,51.1568889,16.9229988
Brodzka,bus_stop,51.1575738,16.9241604
Brodzka,bus_stop,51.1575964,16.9219552
Brodzka,bus_stop,51.1581647,16.9223722
Broniewskiego,bus_stop,51.1351048,17.0365059
Broniewskiego,bus_stop,51.135874,17.0375463
Broniewskiego,bus_stop,51.1359064,17.0353222
Broniewskiego,bus_stop,51.1363206,17.0366861
Brzezińska,bus_stop,51.1494429,16.866627
Brzezińska,bus_stop,51.1495384,16.8667505
Brücknera,bus_stop,51.1384638,17.0817879
Brücknera,bus_stop,51.1385919,17.0814357
Brücknera,bus_stop,51.1391366,17.0807161
Brücknera,bus_stop,51.1395152,17.0810758
Buforowa – Rondo,bus_stop,51.070708,17.0538706
Buforowa – Rondo,bus_stop,51.0690108,17.0537951
Bujwida,bus_stop,51.1133678,17.0669099
Bujwida,bus_stop,51.1137043,17.0677559
Bukowskiego,bus_stop,51.0765102,16.977792
Bystrzycka,bus_stop,51.123949,16.9582194
Bystrzycka,bus_stop,51.1233566,16.958731
Bzowa (Centrum Historii Zajezdnia),bus_stop,51.0975255,16.9915212
Bzowa (Centrum Historii Zajezdnia),bus_stop,51.097681,16.9930801
Olsztyńska,bus_stop,51.1404699,17.0940698
Centrum Handlowe Korona,bus_stop,51.1409998,17.0873039
Centrum Handlowe Korona,bus_stop,51.1418012,17.0933751
Centrum Handlowe Korona,bus_stop,51.1421405,17.0927689
Giełdowa (Centrum Hurtu),bus_stop,51.068118,16.9695295
Ceglana,bus_stop,51.1210313,17.1208878
Ceglana,bus_stop,51.1211437,17.1210219
Chińska,bus_stop,51.0608908,17.0817626
Ćwiczebna,bus_stop,51.1584692,17.0088948
Chełmońskiego,bus_stop,51.1035947,17.0914609
Chełmońskiego,bus_stop,51.1037652,17.0908745
Chińska,bus_stop,51.0604208,17.0832745
Chociebuska (Centrum Kultury Nowy Pafawag),bus_stop,51.1146677,16.9580692
Chociebuska (Centrum Kultury Nowy Pafawag),bus_stop,51.1157861,16.9585731
Chwałkowska,bus_stop,51.1595284,16.9107662
Chwałkowska,bus_stop,51.1598016,16.9101466
Chłodna,bus_stop,51.0749922,16.9968332
Chłodna,bus_stop,51.0751122,16.9966953
Ciechocińska,bus_stop,51.1527704,16.8840636
Ciechocińska,bus_stop,51.1525489,16.8834773
Czajkowskiego,bus_stop,51.1391541,17.065109
Dom Handlowy Astra,bus_stop,51.1278521,16.9759871
Dom Handlowy Astra,bus_stop,51.1284262,16.9756762
Dworzec Świebodzki,bus_stop,51.1089772,17.0176253
Dworzec Główny (Dworcowa),bus_stop,51.1000571,17.0391456
Dworzec Główny (Dworcowa),bus_stop,51.1003271,17.0392179
Dworzec Główny (Dworcowa),bus_stop,51.1009609,17.039389
Dworzec Główny (Dworcowa),bus_stop,51.1011371,17.0400381
Dworzec Autobusowy,bus_stop,51.0965844,17.0329551
Dworzec Autobusowy,bus_stop,51.097242,17.0322924
Dworzec Główny,bus_stop,51.0991893,17.0343687
Dworzec Główny,bus_stop,51.0992172,17.0341187
Dworzec Główny,bus_stop,51.099629,17.0351679
Dworzec Główny,bus_stop,51.0996488,17.035464
Dworzec Główny (MDK),bus_stop,51.1007867,17.036076
Dworzec Nadodrze,bus_stop,51.1248159,17.0340923
Dworzec Nadodrze,bus_stop,51.1247575,17.0349905
Dworzec Nadodrze,bus_stop,51.1248451,17.0348212
Damrota,bus_stop,51.1264747,17.0548868
Daszyńskiego,bus_stop,51.1263145,17.0476706
Daszyńskiego,bus_stop,51.1267452,17.0484484
Kępa Mieszczańska,bus_stop,51.1169888,17.0234493
