name,power,man_made,latitude,longitude
,substation,,51.1319317,16.963403
,substation,,51.1146581,17.0457764
,substation,,51.1071646,17.084996
,substation,,51.112594,16.9788156
,substation,,51.1685864,16.9956536
,substation,,51.1587645,16.9631743
,substation,,51.1586523,16.9629829
,substation,,51.0787163,17.0419003
,substation,,51.0776281,17.0404627
,substation,,51.0745166,17.0173002
,substation,,51.0763517,17.0194761
,substation,,51.0781362,17.0366479
,substation,,51.0789346,17.0398599
,substation,,51.0763852,17.0397403
,substation,,51.0796836,17.0478247
,substation,,51.0809819,17.0361708
,substation,,51.0817047,17.0468821
,substation,,51.0824326,17.0473406
,substation,,51.1131752,17.0327836
,substation,,51.0782245,17.0438312
,substation,,51.077756,17.0463233
,substation,,51.0913145,17.0343502
,substation,,51.1035544,17.0286798
,substation,,51.1037353,17.0290679
,substation,,51.1121577,17.0303864
,substation,,51.072654,17.0465491
,substation,,51.0932813,17.0214281
,substation,,51.0729308,17.0391226
,substation,,51.0804552,17.0483018
,substation,,51.0806867,17.0492627
,substation,,51.072188,17.0430898
,substation,,51.0722173,17.0430894
,substation,,51.1147621,17.054483
,substation,,51.1002229,17.0292916
,substation,,51.1147327,17.0520365
,substation,,51.1140279,17.0549831
,substation,,51.1399189,17.1274446
,substation,,51.1047227,17.0542755
,substation,,51.1048976,17.0543662
,substation,,51.1048091,17.0557546
,substation,,51.081052,17.0375976
,substation,,51.1145312,17.0665677
,substation,,51.0668204,17.0018608
,substation,,51.1037544,17.0243172
,substation,,51.0963687,17.0330819
,substation,,51.1067363,17.0386723
,substation,,51.068757,16.9982084
,substation,,51.0685975,16.9999965
,substation,,51.0690187,17.0008111
,substation,,51.0685984,17.0018568
,substation,,51.1131586,17.0531954
,substation,,51.0692621,16.9975951
,substation,,51.1050286,17.0329086
,substation,,51.0692048,16.9991637
,substation,,51.1122796,17.0294097
,substation,,51.1099658,17.0269781
,substation,,51.0892935,16.9992142
,substation,,51.1082927,17.0335681
,substation,,51.1108175,17.0302505
,substation,street_cabinet,51.1585516,16.9399863
,substation,,51.1220474,17.0422519
,substation,,51.111505,17.032651
,substation,,51.1008515,17.0448926
,substation,,51.117117,17.0505944
,substation,,51.1208415,17.0481479
,substation,,51.1222169,17.0316867
,substation,,51.1105612,17.0416569
,substation,,51.1000596,17.0568832
,substation,,51.1364963,17.0243567
,substation,,51.1365796,17.0234035
