name,power,man_made,latitude,longitude
,substation,,54.3033659,18.5798727
"Stacja Uzdatniania Wody ""Dolina Radości""",,water_works,54.3960482,18.5239067
,substation,,54.3782843,18.6028604
,substation,,54.3437569,18.5563748
,substation,,54.3284306,18.551653
,substation,,54.3747858,18.6262064
Horyzont Przymorze,substation,,54.4107241,18.6022127
Halibut 2,substation,,54.4118676,18.6025245
,substation,,54.3221906,18.6163829
,substation,,54.3214469,18.6135912
,substation,,54.320158,18.6106031
,substation,,54.3086303,18.6031166
,substation,,54.4423375,18.4640983
Kombatantów 5,substation,,54.3974927,18.6089131
,substation,,54.395779,18.6089825
Burzyńskiego 8,substation,,54.3953181,18.6073942
,substation,,54.3956879,18.6054164
,substation,,54.3946291,18.6037597
,substation,,54.3923469,18.6089502
,substation,,54.3927369,18.60695
,substation,,54.3937363,18.6083269
Ciołkowskiego 7,substation,,54.3922605,18.6120558
,substation,,54.3912757,18.6091334
Bajana 3,substation,,54.3905847,18.6058757
Bajana 9,substation,,54.3896058,18.6060952
Nagórskiego 9,substation,,54.3910507,18.6042738
,substation,,54.3921657,18.6027795
Dywizjonu 303 33B,substation,,54.392546,18.6015856
Dywizjonu 303 33E,substation,,54.3915396,18.6012605
,substation,,54.3907054,18.6003547
Dywizjonu 303 5F,substation,,54.3903116,18.5993349
,substation,,54.3905359,18.6017396
,substation,,54.3892828,18.5980794
,substation,,54.3887709,18.6011402
,substation,,54.3882898,18.6030866
,substation,,54.3895049,18.6028141
,substation,,54.3874568,18.6019756
Stacja elektroenergetyczna 110kV Ostrów,substation,,54.37465505,18.650547500000002
Stacja elektroenergetyczna 110/15kV Chełm,substation,,54.33686030960245,18.629870133503175
Stacja elektroenergetyczna 110/15kV Czerwony Most,substation,,54.33238163910993,18.65127823774048
Stacja elektroenergetyczna 110/15kV Górki Zachodnie,substation,,54.35862708563302,18.74621385476217
Stacja elektroenergetyczna 110kV Rafineria - zdemontowana,substation,,54.34628159725902,18.727915917568595
Oczyszczalnia Ścieków Gdańsk Wschód,,wastewater_plant,54.33848931484971,18.76290799320909
,substation,,54.40490309999999,18.583761149999997
,substation,,54.406903307360096,18.640400421430943
,substation,,54.424933450000005,18.482855699999998
T-11-10,substation,,54.42595283306813,18.46946014573895
Stacja Ciśnień,,water_works,54.31778454938878,18.620096356421094
T-1075,substation,,54.32769640497208,18.640024475510454
Stacja elektroenergetyczna 110kV Basen Górniczy,substation,,54.37153331896039,18.67353786523119
"Stacja elektroenergetyczna ""Gdańsk Błonia"" 400/110 kV",substation,,54.338681836515384,18.70967704952491
"Stacja uzdatniania wody ""Czarny Dwór""",,water_works,54.40985864944636,18.610315345665065
,substation,,54.35517209904837,18.660251466813524
,substation,,54.35148666711463,18.655366884647947
,substation,,54.30758952936998,18.592428066332836
